site_code,Taxon,NewTaxon,Notes,Omit
ahth.is,FESTUCA RICHARDSONII,FESTUCA SP.,,No
ahth.is,FESTUCA VIVIPARA,FESTUCA SP.,,No
amlr.is,AGROSTIS CAPILLARIS,AGROSTIS SP.,,No
amlr.is,AGROSTIS VINEALIS,AGROSTIS SP.,,No
amlr.is,FESTUCA RICHARDSONII,FESTUCA SP.,,No
amlr.is,FESTUCA VIVIPARA,FESTUCA SP.,,No
amlr.is,FESTUCA RUBRA,FESTUCA SP.,,No
amlr.is,RUMEX ACETOSA,RUMEX SP.,,No
amlr.is,RUMEX ACETOSELLA,RUMEX SP.,,No
arch.us,CARPHEPHORUS CARPHEPHORUS,CARPHEPHORUS SP.,,No
arch.us,SOLIDAGO FISTULOSA,SOLIDAGO SP.,,No
arch.us,CYPERUS SP.,CYPERUS RETRORSUS,,No
arch.us,RHYNCHOSPORA FASCICULARIS,RHYNCHOSPORA SP.,,No
arch.us,RHYNCHOSPORA FILIFOLIA,RHYNCHOSPORA SP.,,No
arch.us,SCLERIA CILIATA,SCLERIA SP.,,No
arch.us,SCLERIA PAUCIFLORA,SCLERIA SP.,,No
arch.us,SCLERIA RETICULARIS,SCLERIA SP.,,No
arch.us,LUDWIGIA ALATA,LUDWIGIA SP.,,No
arch.us,LUDWIGIA CURTISSII,LUDWIGIA SP.,,No
arch.us,LUDWIGIA MARITIMA,LUDWIGIA SP.,,No
arch.us,LUDWIGIA PILOSA,LUDWIGIA SP.,,No
arch.us,ANDROPOGON SP.,ANDROPOGON VIRGINICUS,,No
arch.us,ANDROPOGON VIRGINICUS var. GLAUCUS,ANDROPOGON VIRGINICUS,,No
arch.us,ANDROPOGON VIRGINICUS var. VIRGINICUS,ANDROPOGON VIRGINICUS,,No
arch.us,AXONOPUS FURCATUS,AXONOPUS SP.,,No
arch.us,PANICUM AGROSTOIDES,PANICUM SP.,,No
arch.us,PANICUM HEMITOMON,PANICUM SP.,,No
arch.us,UNKNOWN GRASS SP.,EXCLUDE,,No
azi.cn,TIBETIA,GUELDENSTAEDTIA VERNA,are these the same?,Yes
azi.cn,SAUSSUREA NEOFRANCHETII,SAUSSUREA SP.,,No
azi.cn,SAUSSUREA NIGRESCENS,SAUSSUREA SP.,,No
azi.cn,SAUSSUREA PACHYNEURA,SAUSSUREA SP.,,No
azi.cn,SAUSSUREA STELLA,SAUSSUREA SP.,,No
