site_code,Taxon,NewTaxon,Notes,Reason,NewFamily,Omit,Apply
ahth.is,FESTUCA RICHARDSONII,FESTUCA SP.,,,,No,Yes
ahth.is,FESTUCA VIVIPARA,FESTUCA SP.,,,,No,Yes
amlr.is,AGROSTIS CAPILLARIS,AGROSTIS SP.,,,,No,Yes
amlr.is,AGROSTIS VINEALIS,AGROSTIS SP.,,,,No,Yes
amlr.is,FESTUCA RICHARDSONII,FESTUCA SP.,,,,No,Yes
amlr.is,FESTUCA VIVIPARA,FESTUCA SP.,,,,No,Yes
amlr.is,FESTUCA RUBRA,FESTUCA SP.,,,,No,Yes
amlr.is,RUMEX ACETOSA,RUMEX SP.,,,,No,Yes
amlr.is,RUMEX ACETOSELLA,RUMEX SP.,,,,No,Yes
arch.us,COMMELINA SP.,COMMELINA ERECTA,,,,No,Yes
arch.us,CARPHEPHORUS CARPHEPHORUS,CARPHEPHORUS SP.,,,,No,Yes
arch.us,SOLIDAGO SP.,SOLIDAGO FISTULOSA,,,,No,Yes
arch.us,CYPERUS SP.,CYPERUS RETRORSUS,,,,No,Yes
arch.us,RHYNCHOSPORA FASCICULARIS,RHYNCHOSPORA SP.,,,,No,Yes
arch.us,RHYNCHOSPORA FILIFOLIA,RHYNCHOSPORA SP.,,,,No,Yes
arch.us,SCLERIA CILIATA,SCLERIA SP.,,,,No,Yes
arch.us,SCLERIA PAUCIFLORA,SCLERIA SP.,,,,No,Yes
arch.us,SCLERIA RETICULARIS,SCLERIA SP.,,,,No,Yes
arch.us,LUDWIGIA ALATA,LUDWIGIA SP.,,,,No,Yes
arch.us,LUDWIGIA CURTISSII,LUDWIGIA SP.,,,,No,Yes
arch.us,LUDWIGIA MARITIMA,LUDWIGIA SP.,,,,No,Yes
arch.us,LUDWIGIA PILOSA,LUDWIGIA SP.,,,,No,Yes
arch.us,UNKNOWN CYPERACEAE SP.,ELEOCHARIS BALDWINII,,assign to dominant taxon in Family,,No,Yes
arch.us,ANDROPOGON SP.,ANDROPOGON VIRGINICUS,,,,No,Yes
arch.us,ANDROPOGON VIRGINICUS var. GLAUCUS,ANDROPOGON VIRGINICUS,,,,No,Yes
arch.us,ANDROPOGON VIRGINICUS var. VIRGINICUS,ANDROPOGON VIRGINICUS,,,,No,Yes
arch.us,PANICUM AGROSTOIDES,PANICUM SP.,,,,No,Yes
arch.us,PANICUM HEMITOMON,PANICUM SP.,,,,No,Yes
arch.us,UNKNOWN GRASS SP.,SCHIZACHYRIUM RHIZOMATUM,,assign to dominant taxon in Family,,No,Yes
azi.cn,TIBETIA,GUELDENSTAEDTIA VERNA,are these the same?,,,Yes,No
azi.cn,ARTEMISIA MONGOLICA,ARTEMISIA SIEVERSIANA,,Inconsistent identification across years,,No,Yes
azi.cn,SAUSSUREA NEOFRANCHETII,SAUSSUREA SP.,,,,No,Yes
azi.cn,SAUSSUREA NIGRESCENS,SAUSSUREA SP.,,,,No,Yes
azi.cn,SAUSSUREA PACHYNEURA,SAUSSUREA SP.,,,,No,Yes
azi.cn,SAUSSUREA STELLA,SAUSSUREA SP.,,,,No,Yes
azi.cn,POA ATTENUATA var. KENG,POA ATTENUATA,,Aggregate at species level,,No,Yes
azi.cn,VIOLA STRIATELLA,VIOLA SP.,,Inconsistent identification across years,,No,Yes
badlau.de,VICIA SATIVA SSP. NIGRA,VICIA SATIVA,,Aggregate at species level,,No,Yes
barta.us,,,no changes,,,Yes,No
bayr.de,QUERCUS ROBUR,QUERCUS SP.,,,,No,Yes
bayr.de,CRATAEGUS MONOGYNA,CRATAEGUS SP.,,,,No,Yes
bayr.de,PRUNUS SPINOSA,PRUNUS SP.,,,,No,Yes
bldr.us,PODOSPERMUM LACINIATUM,SCORZONERA LACINIATA,,,,No,Yes
bldr.us,PODOSPERMUM SCORZONEROIDES,SCORZONERA LACINIATA,,,,No,Yes
bldr.us,PODOSPERMUM SP.,SCORZONERA LACINIATA,,,,No,Yes
bldr.us,MEDICAGO SP.,MEDICAGO LUPULINA,,,,No,Yes
bldr.us,UNKNOWN GRASS,VULPIA BROMOIDES,,,,No,Yes
bnbt.us,CORNUS SP. (bnbt.us),CORNUS SP.,,global taxon name,,No,Yes
bnbt.us,CAREX SP. (bnbt.us),CAREX SP.,,global taxon name,,No,Yes
bnbt.us,ACALYPHA SP. (bnbt.us),ACALYPHA SP.,,global taxon name,,No,Yes
bnbt.us,TYPHA ANGUSTIFOLIA,TYPHA GLAUCA,one taxon present per year; confirmed with Brent Mortensen,Inconsistent identification across years,,No,Yes
bnbt.us,ULMUS PUMILA,ULMUS SP.,one taxon present per year; confirmed with Brent Mortensen,No congeners recorded,,No,Yes
bnbt.us,URTICA DIOECIA,URTICA DIOICA,confirmed with Brent Mortensen,Spelling,,No,Yes
bnbt.us,SYMPHYOTRICHUM PILOSUM,SYMPHYOTRICHUM ERICOIDES,confirmed with Brent Mortensen,Inconsistent identification across years,,No,Yes
bnbt.us,PERSICARIA MACULOSA,PERSICARIA LAPATHIFOLIA,confirmed with Brent Mortensen,Inconsistent identification across years,,No,Yes
bnch.us,,,No Agrostis in year_trt == 3?,,,Yes,No
bnch.us,,,No Danthonia in year_trt == 3?,,,Yes,No
bnch.us,UNKNOWN CARYOPHYLLACEAE SP.,MOEHRINGIA LATERIFLORA,,,,No,Yes
bnch.us,ASTER SP.,SYMPHYOTRICHUM SPATHULATUM,,,,No,Yes
bnch.us,CAREX HOODII,CAREX PENSYLVANICA,,,,No,Yes
bnch.us,ELYMUS GLAUCUS,ELYMUS REPENS,,,,No,Yes
bnch.us,UNKNOWN POLEMONIACEAE SP.,MICROSTERIS GRACILIS,,,,No,Yes
bnch.us,UNKNOWN GRASS,FESTUCA IDAHOENSIS,,assign to dominant taxon in Family,,No,Yes
bogong.au,ERIGERON BELLIDIOIDES,ERIGERON SP.,,,,No,Yes
bogong.au,ERIGERON NITIDUS,ERIGERON SP.,,,,No,Yes
bogong.au,MICROSERIS SP.,MICROSERIS LANCEOLATA,,,,No,Yes
burrawan.au,,,no changes,,,Yes,No
burren.ie,DACTYLORHIZA FUCHSII,DACTYLORHIZA SP.,,,,No,Yes
burren.ie,DACTYLORHIZA MACULATA,DACTYLORHIZA SP.,,,,No,Yes
burren.ie,UNKNOWN ORCHIDACEAE SP.,DACTYLORHIZA SP.,,assign to dominant taxon in Family,,No,Yes
burren.ie,ROSA XANTHINA,ROSA SPINOSISSIMA,,,,No,Yes
burren.ie,PEDICULARIS PALUSTRIS,PEDICULARIS SYLVATICA,,Inconsistent identification across years,,No,Yes
cbgb.us,CIRSIUM ARVENSE,CIRSIUM SP.,not distinguished in yrs 0-3,Inconsistent identification across years,,No,Yes
cbgb.us,CIRSIUM VULGARE,CIRSIUM SP.,not distinguished in yrs 0-3,Inconsistent identification across years,,No,Yes
cbgb.us,HELIANTHUS SP.,HELIANTHUS GROSSESERRATUS,plot 52; H. grosseserratus in plot in other years,Inconsistent identification across years,,No,Yes
cbgb.us,SOLIDAGO SP.,SOLIDAGO CANADENSIS,plot 4; S. canadensis in plot in other years,Inconsistent identification across years,,No,Yes
cbgb.us,SYMPHYOTRICHUM SP.,SYMPHYOTRICHUM PILOSUM,"plots 13, 20",No congeners recorded,,No,Yes
cbgb.us,MELILOTUS OFFICINALIS,MELILOTUS SP.,,No congeners recorded,,No,Yes
cbgb.us,GALIUM SP.,GALIUM CONCINNUM,,No congeners recorded,,No,Yes
cbgb.us,SOLANUM SP.,SOLANUM CAROLINENSE,,No congeners recorded,,No,Yes
cbgb.us,UNKNOWN GRASS,SCHIZACHYRIUM SCOPARIUM,,assign to dominant taxon in Family,,No,Yes
cbgb.us,UNKNOWN POACEAE SP. (cbgb.us),SCHIZACHYRIUM SCOPARIUM,,assign to dominant taxon in Family,,No,Yes
cdcr.us,,,no Elymus repens in 2009?,,,Yes,No
cdcr.us,CHENOPODIUM SP.,CHENOPODIUM ALBUM,,No congeners recorded,,No,Yes
cdcr.us,ASCLEPIAS SP.,ASCLEPIAS SYRIACA,A. syriaca present before and after,Inconsistent identification across years,,No,Yes
cdcr.us,SILENE LATIFOLIA,LYCHNIS LATIFOLIA SSP. ALBA,,Synonyms,,No,Yes
cdcr.us,ASTER SP.,SYMPHYOTRICHUM BOREALE,,Synonyms,,No,Yes
cdcr.us,ERIGERON CANADENSIS,CONYZA CANADENSIS,,Synonyms,,No,Yes
cdcr.us,ERIGERON SP.,ERIGERON STRIGOSUS,,No congeners recorded,,No,Yes
cdcr.us,RUDBECKIA SP.,RUDBECKIA HIRTA,,No congeners recorded,,No,Yes
cdcr.us,RUDBECKIA HIRTA var. PULCHERRIMA,RUDBECKIA HIRTA,,Aggregate at species level,,No,Yes
cdcr.us,ECHINACEA SEROTINA,RUDBECKIA HIRTA,Adam Clark: not present in 30 years of 2000 plots in old field,Common misidentification,,No,Yes
cdcr.us,SOLIDAGO SP.,SOLIDAGO MISSOURIENSIS,S. missouriensis common but never co-listed,Common misidentification,,No,Yes
cdcr.us,CAREX SCOPARIA,CAREX SP.,usually characterized as genus,No congeners recorded,,No,Yes
cdcr.us,CYPERUS FILICULMIS,CYPERUS SP.,generally one species present per year; usually characterized as genus,Common misidentification,,No,Yes
cdcr.us,CYPERUS GRAYI,CYPERUS SP.,generally one species present per year; usually characterized as genus,Common misidentification,,No,Yes
cdcr.us,CYPERUS LUPULINUS,CYPERUS SP.,generally one species present per year; usually characterized as genus,Common misidentification,,No,Yes
cdcr.us,CYPERUS SCHWEINITZII,CYPERUS SP.,generally one species present per year; usually characterized as genus,Common misidentification,,No,Yes
cdcr.us,UNKNOWN FABACEAE,TRIFOLIUM REPENS,single record in 2014; co-occurs with Lespedeza capitata; T. repens not recorded in that year,Common misidentification,,No,Yes
cdcr.us,UNKNOWN LAMIACEAE ,HEDEOMA HISPIDA,2 records in 2013; no other genera from family recorded,No congeners recorded,,No,Yes
cdcr.us,PANICUM SP.,PANICUM ACUMINATUM,1 record in 2013; P. acuminatum most common congener that it doesn't co-occur with,Common misidentification,,No,Yes
cdcr.us,UNKNOWN GRASS SP.,SETARIA SP.,Adam Clark: most likely Setaria or Digitaria,Common misidentification,,No,Yes
cdcr.us,POPULUS DELTOIDES,POPULUS TREMULOIDES,,Common misidentification,,No,Yes
cdpt.us,,,no changes,,,Yes,No
cedr.us,CAREX SP. (cedr.us),CAREX SCOPARIA,,Inconsistent identification across years,,No,Yes
cedr.us,CYPERUS SP. (cedr.us),CYPERUS FILICULMIS,"same plot, different years",Inconsistent identification across years,,No,Yes
cedr.us,VICIA SP. (cedr.us),VICIA SP.,same plot as Vicia villosa so assumed different taxon,global taxon name,,No,Yes
cedr.us,PRUNUS SP. (cedr.us),PRUNUS SP.,,global taxon name,,No,Yes
cedr.us,VITIS SP. (cedr.us),VITIS SP.,,global taxon name,,No,Yes
cereep.fr,,,why so much Hypochaeris in year 0?,,,Yes,No
cereep.fr,,,why minimum value of 2.5 in year 0?,,,Yes,No
cereep.fr,,,why no data for plot 30 in most years?,,,Yes,No
cereep.fr,MYOSOTIS SP.,MYOSOTIS RAMOSISSIMA,plot 24; M. ramosissima in other yrs,Inconsistent identification across years,,No,Yes
cereep.fr,SILENE LATIFOLIA,SILENE LATIFOLIA SSP. ALBA,,Aggregate at species level,,No,Yes
cereep.fr,UNKNOWN CARYOPHYLLACEAE SP.,SILENE VULGARIS,plot 22,,,No,Yes
cereep.fr,CREPIS SETOSA,CREPIS SP.,,,,No,Yes
cereep.fr,JACOBAEA VULGARIS,SENECIO JACOBAEA,,Synonyms,,No,Yes
cereep.fr,SENECIO SP.,SENECIO JACOBAEA,,No congeners recorded,,No,Yes
cereep.fr,PICRIS SP.,PICRIS HIERACIOIDES,,No congeners recorded,,No,Yes
cereep.fr,TARAXACUM SP.,TARAXACUM CAMPYLODES,,No congeners recorded,,No,Yes
cereep.fr,UNKNOWN ASTERACEAE SP.,HIERACIUM UMBELLATUM,,assign to dominant taxon in Family,,No,Yes
cereep.fr,TRIFOLIUM SP.,TRIFOLIUM CAMPESTRE,usually T. campestre recorded in other yrs but not at same time as T. sp,Inconsistent identification across years,,No,Yes
cereep.fr,VICIA sativa SSP. nigra,VICIA SATIVA,,Aggregate at species level,,No,Yes
cereep.fr,VICIA CRACCA,VICIA SP.,not V. hirsuta or V. sativa,Inconsistent identification across years,,No,Yes
cereep.fr,VICIA LATHYROIDES,VICIA SP.,not V. hirsuta or V. sativa,Inconsistent identification across years,,No,Yes
cereep.fr,VICIA SEPIUM,VICIA SP.,not V. hirsuta or V. sativa,Inconsistent identification across years,,No,Yes
cereep.fr,VICIA TETRASPERMA,VICIA SP.,not V. hirsuta or V. sativa,Inconsistent identification across years,,No,Yes
cereep.fr,ERODIUM SP.,ERODIUM CICUTARIUM,,No congeners recorded,,No,Yes
cereep.fr,GERANIUM SP.,GERANIUM DISSECTUM,,assign to dominant taxon in Family,,No,Yes
cereep.fr,HYPERICUM MACULATUM SSP. OBTUSIUSCULUM,HYPERICUM SP.,,Inconsistent identification across years,,No,Yes
cereep.fr,HYPERICUM PERFORATUM,HYPERICUM SP.,,Inconsistent identification across years,,No,Yes
cereep.fr,AGROSTIS SP.,AGROSTIS CAPILLARIS,,assign to dominant taxon in genus,,No,Yes
cereep.fr,ARRHENATHERUM elatius SSP. bulbosum,ARRHENATHERUM ELATIUS,,Aggregate at species level,,No,Yes
cereep.fr,BROMUS SP.,BROMUS HORDEACEUS,,assign to dominant taxon in genus,,No,Yes
cereep.fr,FESTUCA SP.,FESTUCA RUBRA,,assign to dominant taxon in genus,,No,Yes
cereep.fr,POA pratensis SSP. latifolia,POA PRATENSIS,,Aggregate at species level,,No,Yes
cereep.fr,POA SP.,POA PRATENSIS,,assign to dominant taxon in genus,,No,Yes
cereep.fr,VULPIA SP.,VULPIA MYUROS,,assign to dominant taxon in genus,,No,Yes
cereep.fr,UNKNOWN GRASS SP.,ARRHENATHERUM ELATIUS,,assign to dominant taxon in Family,,No,Yes
cereep.fr,RUMEX SP.,RUMEX ACETOSELLA,plot 6; R. acetosa also present,Inconsistent identification across years,,No,Yes
cereep.fr,RANUNCULUS SP.,RANUNCULUS REPENS,plot 15,Inconsistent identification across years,,No,Yes
cereep.fr,POTENTILLA SP.,POTENTILLA ARGENTEA,plot 17,Inconsistent identification across years,,No,Yes
cereep.fr,VERONICA SP.,VERONICA ARVENSIS,plot 14,Inconsistent identification across years,,No,Yes
cereep.fr,VALERIANELLA SP.,VALERIANELLA LOCUSTA,plot 20,No congeners recorded,,No,Yes
chilcas.ar,CAREX SP.,CAREX PHALAROIDES,,,,No,Yes
chilcas.ar,CYPERUS SP.,CYPERUS ERAGROSTIS,,,,No,Yes
chilcas.ar,BROMUS AULETICUS,BROMUS BRACHYANTHERUS,,,,No,Yes
comp.pt,,,plot 14 only monitored in 2012?,,,Yes,No
comp.pt,CREPIS CAPILLARIS,CREPIS SP.,,,,No,Yes
comp.pt,CREPIS VESICARIA,CREPIS SP.,,,,No,Yes
comp.pt,HYPOCHAERIS,HYPOCHAERIS GLABRA,,,,No,Yes
comp.pt,LEONTODON TARAXACOIDES,HYPOCHAERIS GLABRA,,,,No,Yes
comp.pt,TRIFOLIUM GEMELLUM,TRIFOLIUM GLOMERATUM,,Inconsistent identification across years,,No,Yes
comp.pt,TRIFOLIUM SP.,TRIFOLIUM GLOMERATUM,,Inconsistent identification across years,,No,Yes
comp.pt,ERODIUM AETHIOPICUM,ERODIUM SP.,,,,No,Yes
comp.pt,ERODIUM BOTRYS,ERODIUM SP.,,,,No,Yes
comp.pt,ERODIUM CICUTARIUM,ERODIUM SP.,,,,No,Yes
comp.pt,ERODIUM MALACOIDES,ERODIUM SP.,,,,No,Yes
comp.pt,ERODIUM MOSCHATUM,ERODIUM SP.,,,,No,Yes
comp.pt,OROBANCHE SP.,OROBANCHE MINOR,,,,No,Yes
comp.pt,PLANTAGO BELLARDI,PLANTAGO BELLARDII,,Spelling,,No,Yes
comp.pt,UNKNOWN GRASS,AGROSTIS POURRETII,,Inconsistent identification across years,,No,Yes
comp.pt,VULPIA,VULPIA BROMOIDES,,,,No,Yes
comp.pt,UNKNOWN ASTERACEAE SP.,TOLPIS BARBATA,,assign to dominant taxon in Family,,No,Yes
comp.pt,UNKNOWN ASTERACEAE,TOLPIS BARBATA,,assign to dominant taxon in Family,,No,Yes
cowi.ca,,,no changes,,,Yes,No
cowi.ca,,,Bellis perennis == Leucanthemum vulgare?,,,Yes,No
doane.us,SOLIDAGO SP.,SOLIDAGO CANADENSIS,,,,No,Yes
doane.us,PHYSALIS VIRGINIANA,PHYSALIS LONGIFOLIA,,,,No,Yes
doane.us,UNKNOWN GRASS,ANDROPOGON GERARDII,,assign to dominant taxon in Family,,No,Yes
elliot.us,CROTON SETIGER,CROTON SETIGERUS,,Spelling,,No,Yes
elliot.us,JUNCUS SP.,JUNCUS DUBIUS,,,,No,Yes
ethamc.au,,,no changes,,,Yes,No
ethass.au,,,no changes,,,Yes,No
frue.ch,,,no changes,,,Yes,No
gilb.za,UNKNOWN CYPERACEAE,CYPERUS SP.,,assign to dominant taxon of Family,,No,Yes
hall.us,RUBUS SP.,RUBUS ALLEGHENIENSIS,,,,No,Yes
hart.us,ALLIUM SP.,ALLIUM ACUMINATUM,,,,No,Yes
hart.us,AGOSERIS SP.,AGOSERIS GLAUCA,,,,No,Yes
hart.us,CREPIS OCCIDENTALIS,CREPIS SP.,,,,No,Yes
hart.us,ASTRAGALUS SP.,ASTRAGALUS FILIPES,,Inconsistent identification across years,,No,Yes
hart.us,LUPINUS SP.,LUPINUS UNCIALIS,,,,No,Yes
hero.uk,,,no changes,,,Yes,No
hnvr.us,IPOMOEA SP.,CALYSTEGIA SEPIUM,,Inconsistent identification across years,,No,Yes
hnvr.us,CAREX SP.,CAREX GRACILLIMA,,Inconsistent identification across years,,No,Yes
hopl.us,UNKNOWN APIACEAE SP.,DAUCUS PUSILLUS,,,,No,Yes
hopl.us,DAUCUS SP.,DAUCUS PUSILLUS,,,,No,Yes
hopl.us,SANICULA SP.,SANICULA BIPINNATA,,,,No,Yes
hopl.us,TORILIS ARVENSIS,TORILIS SP.,,,,No,Yes
hopl.us,TORILIS NODOSA,TORILIS SP.,,,,No,Yes
hopl.us,BRODIAEA CORONARIA,TRITELEIA SP.,,,,No,Yes
hopl.us,BRODIAEA SP.,TRITELEIA SP.,,,,No,Yes
hopl.us,PLAGIOBOTHRYS SP.,PLAGIOBOTHRYS NOTHOFULVUS,,,,No,Yes
hopl.us,CENTAUREA SP.,CENTAUREA MELITENSIS,,,,No,Yes
hopl.us,MADIA GRACILIS,MADIA SP.,,,,No,Yes
hopl.us,MADIA SATIVA,MADIA SP.,,,,No,Yes
hopl.us,EUPHORBIA SP.,EUPHORBIA PEPLUS,,,,No,Yes
hopl.us,UNKNOWN EUPHORBIACEAE,EUPHORBIA SPATHULATA,,,,No,Yes
hopl.us,LATHYRUS SP.,LATHYRUS SPHAERICUS,,,,No,Yes
hopl.us,LOTUS SP.,ACMISPON WRANGELIANUS,,,,No,Yes
hopl.us,LUPINUS BICOLOR,LUPINUS SP.,,,,No,Yes
hopl.us,LUPINUS NANUS,LUPINUS SP.,,,,No,Yes
hopl.us,TRIFOLIUM ALBOPURPUREUM,TRIFOLIUM SP.,,,,No,Yes
hopl.us,TRIFOLIUM BIFIDUM,TRIFOLIUM SP.,,,,No,Yes
hopl.us,TRIFOLIUM CILIOLATUM,TRIFOLIUM SP.,,,,No,Yes
