site_code,Taxon,NewTaxon,Notes,Reason,Apply,New_Family,New_local_provenance,New_local_lifeform,New_local_lifespan,New_functional_group
ahth.is,CLADINA SP. (ahth.is),CLADINA SP. (ahth.is),,Update species characteristics,Yes,,NAT,LICHEN,NULL,LICHEN
ahth.is,ALECTORIA SP. (ahth.is),ALECTORIA SP. (ahth.is),,Update species characteristics,Yes,,NAT,LICHEN,NULL,LICHEN
ahth.is,PELTIGERA SP. (ahth.is),PELTIGERA SP. (ahth.is),,Update species characteristics,Yes,,NULL,LICHEN,NULL,LICHEN
ahth.is,FESTUCA RICHARDSONII,FESTUCA SP. (ahth.is),,Aggregate at genus level,Yes,,,,,
ahth.is,FESTUCA VIVIPARA,FESTUCA SP. (ahth.is),,Aggregate at genus level,Yes,,,,,
ahth.is,FESTUCA SP. (ahth.is),,,Update species characteristics,Yes,,NAT,GRASS,NULL,GRASS
ahth.is,STEREOCAULON SP. (ahth.is),STEREOCAULON ALPINUM,,No congeners recorded,Yes,,,,,
ains_dn.uk,CIRSIUM SP. (ains_dn.uk),CIRSIUM PALUSTRE,,Assign to dominant taxon in genus,Yes,,,,,
ains_dn.uk,DACTYLORHIZA SP. (ains_dn.uk),DACTYLORHIZA INCARNATA,plot 15,Assign to dominant taxon in genus,Yes,,,,,
amlr.is,UNKNOWN FORB SP. (amlr.is),RUMEX ACETOSELLA,,Assign to dominant forb taxon,Yes,Polygonaceae,,,,
amlr.is,UNKNOWN SP. (amlr.is),RUMEX ACETOSELLA,,Assign to dominant taxon,Yes,Polygonaceae,,,,
amlr.is,AGROSTIS CAPILLARIS,AGROSTIS SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,AGROSTIS VINEALIS,AGROSTIS SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,AGROSTIS SP. (amlr.is),,,Update species characteristics,Yes,,NAT,GRASS,NULL,GRASS
amlr.is,FESTUCA RICHARDSONII,FESTUCA SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,FESTUCA VIVIPARA,FESTUCA SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,FESTUCA RUBRA,FESTUCA SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,FESTUCA SP. (amlr.is),,,Update species characteristics,Yes,,NAT,GRASS,NULL,GRASS
amlr.is,RUMEX ACETOSA,RUMEX SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,RUMEX ACETOSELLA,RUMEX SP. (amlr.is),,Aggregate at genus level,Yes,,,,,
amlr.is,RUMEX SP. (amlr.is),,,Update species characteristics,Yes,,NAT,FORB,NULL,FORB
arch.us,COMMELINA SP. (arch.us),COMMELINA ERECTA,,No congeners recorded,Yes,,,,,
